"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","17-Jul-2018","       1989.20","       1989.00","       2009.00","       1981.00","       2000.00","       2002.15","       1994.60","    3315492","          6613072315.45","     105130","    2074936","         62.58"
"TCS","EQ","18-Jul-2018","       2002.15","       2005.00","       2011.70","       1993.05","       2000.00","       2000.25","       2000.88","    2013869","          4029511535.60","      93022","    1182682","         58.73"
"TCS","EQ","19-Jul-2018","       2000.25","       2002.10","       2010.45","       1970.00","       1986.00","       1981.40","       1984.27","    1746318","          3465172736.00","      81270","     806524","         46.18"
"TCS","EQ","20-Jul-2018","       1981.40","       1984.90","       2000.00","       1984.00","       1998.10","       1996.60","       1993.61","    1934995","          3857631216.00","      97910","    1145691","         59.21"
"TCS","EQ","23-Jul-2018","       1996.60","       2001.00","       2009.95","       1986.00","       2001.10","       2005.65","       2005.83","    2086201","          4184572277.10","      88812","    1490091","         71.43"
"TCS","EQ","24-Jul-2018","       2005.65","       2015.00","       2015.00","       1984.15","       1996.45","       1999.00","       1998.52","    2038423","          4073820958.05","      96571","    1388444","         68.11"
"TCS","EQ","25-Jul-2018","       1999.00","       2001.90","       2002.00","       1968.40","       1977.50","       1981.50","       1979.25","    1535492","          3039127153.40","      92993","     878512","         57.21"
"TCS","EQ","26-Jul-2018","       1981.50","       1974.95","       1985.00","       1955.10","       1956.00","       1964.70","       1968.67","    3503036","          6896326862.90","     110618","    2533158","         72.31"
"TCS","EQ","27-Jul-2018","       1964.70","       1960.85","       1964.65","       1940.30","       1943.75","       1943.75","       1948.53","    2033977","          3963271946.50","     103516","    1389322","         68.31"
"TCS","EQ","30-Jul-2018","       1943.75","       1943.00","       1954.70","       1931.55","       1944.30","       1944.60","       1942.30","    1579251","          3067386014.45","      74802","     862487","         54.61"
"TCS","EQ","31-Jul-2018","       1944.60","       1942.00","       1947.00","       1928.00","       1947.00","       1940.20","       1934.85","    2204803","          4265970111.15","     125163","    1494920","         67.80"
"TCS","EQ","01-Aug-2018","       1940.20","       1949.95","       1981.55","       1949.80","       1973.00","       1976.50","       1972.85","    2425180","          4784507538.70","      94019","    1409120","         58.10"
"TCS","EQ","02-Aug-2018","       1976.50","       1980.00","       1985.00","       1945.00","       1947.50","       1948.40","       1960.41","    1509287","          2958815209.40","      85680","     842778","         55.84"
"TCS","EQ","03-Aug-2018","       1948.40","       1956.50","       1982.05","       1956.50","       1978.00","       1979.45","       1973.58","    1505131","          2970498995.40","      91920","     938806","         62.37"
"TCS","EQ","06-Aug-2018","       1979.45","       1997.00","       1998.95","       1972.25","       1975.05","       1975.55","       1981.25","    1532249","          3035769014.75","      62917","     920478","         60.07"
"TCS","EQ","07-Aug-2018","       1975.55","       1978.20","       1979.15","       1960.50","       1969.00","       1967.35","       1967.34","    1353560","          2662908261.65","      95485","     914572","         67.57"
"TCS","EQ","08-Aug-2018","       1967.35","       1972.00","       1978.30","       1962.00","       1975.00","       1974.00","       1969.57","    1315062","          2590100268.35","      78555","     902368","         68.62"
"TCS","EQ","09-Aug-2018","       1974.00","       1980.00","       1980.80","       1966.00","       1978.00","       1974.35","       1974.51","    2060297","          4068073026.60","      88956","    1627842","         79.01"
"TCS","EQ","10-Aug-2018","       1974.35","       1980.95","       1996.50","       1972.05","       1992.00","       1993.10","       1985.67","    2784105","          5528317088.35","     105306","    2064227","         74.14"
"TCS","EQ","13-Aug-2018","       1993.10","       1997.80","       2004.25","       1990.00","       1999.50","       2000.15","       1998.04","    3559575","          7112184424.50","     176860","    2630963","         73.91"
"TCS","EQ","14-Aug-2018","       2000.15","       1992.00","       2024.60","       1982.40","       2000.00","       2003.55","       2010.34","    3311765","          6657770585.30","     120349","    1934826","         58.42"
"TCS","EQ","16-Aug-2018","       2003.55","       2000.30","       2020.05","       1995.00","       2009.10","       2008.50","       2008.49","    2152065","          4322407891.55","     153660","    1390016","         64.59"
"TCS","EQ","17-Aug-2018","       2008.50","       2013.85","       2021.90","       2004.00","       2010.00","       2012.75","       2012.85","    1213731","          2443058585.35","     114738","     719022","         59.24"
"TCS","EQ","20-Aug-2018","       2012.75","       2024.00","       2024.00","       2003.70","       2014.15","       2009.95","       2011.43","    1587032","          3192197146.60","     125610","    1020783","         64.32"
